2025-06-24 00:49:28,991 - __main__ - DEBUG - Логування налаштовано: DEBUG
2025-06-24 00:49:28,991 - __main__ - INFO - Логування налаштовано: INFO
2025-06-24 00:49:28,991 - __main__ - WARNING - Логування налаштовано: WARNING
2025-06-24 00:49:28,991 - __main__ - ERROR - Логування налаштовано: ERROR
2025-06-24 00:49:28,991 - __main__ - CRITICAL - Логування налаштовано: CRITICAL
2025-06-24 01:05:37,170 - __main__ - DEBUG - Логування налаштовано: DEBUG
2025-06-24 01:05:37,170 - __main__ - INFO - Логування налаштовано: INFO
2025-06-24 01:05:37,171 - __main__ - WARNING - Логування налаштовано: WARNING
2025-06-24 01:05:37,171 - __main__ - ERROR - Логування налаштовано: ERROR
2025-06-24 01:05:37,171 - __main__ - CRITICAL - Логування налаштовано: CRITICAL
2025-06-24 01:05:38,751 - __main__ - INFO - Гра запущена. Відображення головного меню.
2025-06-24 01:05:40,429 - __main__ - INFO - Завантажено рівень 1.
2025-06-24 01:05:42,590 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,606 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,623 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,640 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,656 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,673 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,689 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,707 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,723 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,740 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,757 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,774 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,790 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,806 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,823 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,840 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,856 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,873 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,890 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,906 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,923 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,938 - __main__ - DEBUG - Натиснута клавіша UP. Спроба стрибка.
2025-06-24 01:05:42,940 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:42,956 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,974 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:42,992 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,008 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,025 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,042 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,058 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,074 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,090 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,107 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,123 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,139 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,155 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,172 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,188 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,204 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,220 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,238 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:43,253 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,268 - __main__ - DEBUG - Натиснута клавіша RIGHT. Швидкість X = 10.
2025-06-24 01:05:43,270 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,286 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,302 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,318 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:43,334 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,351 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,367 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,384 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,400 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,416 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,433 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,450 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,466 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,483 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,498 - __main__ - DEBUG - Відпущена клавіша RIGHT. Швидкість X = 0.
2025-06-24 01:05:43,500 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,517 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,533 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,549 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,565 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,584 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,600 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,616 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,632 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,648 - __main__ - DEBUG - Натиснута клавіша LEFT. Швидкість X = -10.
2025-06-24 01:05:43,650 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,666 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,683 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,699 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,717 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,733 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,749 - __main__ - DEBUG - Відпущена клавіша LEFT. Швидкість X = 0.
2025-06-24 01:05:43,751 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:43,767 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,783 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,799 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,815 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,832 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:43,849 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,866 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,883 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,900 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,917 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,933 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,949 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,965 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,981 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:43,998 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,013 - __main__ - DEBUG - Натиснута клавіша UP. Спроба стрибка.
2025-06-24 01:05:44,015 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,031 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,047 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,063 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,079 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,095 - __main__ - DEBUG - Натиснута клавіша RIGHT. Швидкість X = 10.
2025-06-24 01:05:44,096 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,112 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,129 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:44,145 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,161 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:44,177 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:44,194 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
